date,size,hash,url,datetime
2015-05-04,126885,97c4a05a2f3c1c6336e8e3669673acca,http://data.gdeltproject.org/gdeltv2/20150504233000.export.CSV.zip,2015-05-04 23:30:00
2015-05-05,107767,4d29970267565499341a83be7da0a27d,http://data.gdeltproject.org/gdeltv2/20150505234500.export.CSV.zip,2015-05-05 23:45:00
2015-05-06,139414,d2c410a877ff92984ab7621b852acc26,http://data.gdeltproject.org/gdeltv2/20150506234500.export.CSV.zip,2015-05-06 23:45:00
2015-05-07,154390,3134b36667eee0ac9c50b679f6a612cd,http://data.gdeltproject.org/gdeltv2/20150507234500.export.CSV.zip,2015-05-07 23:45:00
2015-05-08,85696,498f3174bf86a929b2142fd1d15839e2,http://data.gdeltproject.org/gdeltv2/20150508234500.export.CSV.zip,2015-05-08 23:45:00
2015-05-09,72934,3342d2c99938f75eb4edf390147b9585,http://data.gdeltproject.org/gdeltv2/20150509234500.export.CSV.zip,2015-05-09 23:45:00
2015-05-10,80691,eb95ef499ab9df3807d867f2e97f0a0a,http://data.gdeltproject.org/gdeltv2/20150510234500.export.CSV.zip,2015-05-10 23:45:00
2015-05-11,119241,d5c6208641a3aed30c4decacb7f21042,http://data.gdeltproject.org/gdeltv2/20150511234500.export.CSV.zip,2015-05-11 23:45:00
2015-05-12,130670,abf288aec305f7718c9dd9b3d96d99f2,http://data.gdeltproject.org/gdeltv2/20150512234500.export.CSV.zip,2015-05-12 23:45:00
2015-05-13,136184,99b405b87a54c43657ff1550ea676630,http://data.gdeltproject.org/gdeltv2/20150513234500.export.CSV.zip,2015-05-13 23:45:00
2015-05-14,108523,ec9cf6afdeae337357f215d45aeffbed,http://data.gdeltproject.org/gdeltv2/20150514234500.export.CSV.zip,2015-05-14 23:45:00
2015-05-15,80512,0a3aeacc848c4a40fedb7ef9a6e3a682,http://data.gdeltproject.org/gdeltv2/20150515234500.export.CSV.zip,2015-05-15 23:45:00
2015-05-16,107006,8fff016e402439c3e267a5737087a706,http://data.gdeltproject.org/gdeltv2/20150516234500.export.CSV.zip,2015-05-16 23:45:00
2015-05-17,76954,6b49054308010f1f46d3917fcb26865f,http://data.gdeltproject.org/gdeltv2/20150517234500.export.CSV.zip,2015-05-17 23:45:00
2015-05-18,138499,e6cf9327478fa5a51a4c4ff83ca8d61c,http://data.gdeltproject.org/gdeltv2/20150518234500.export.CSV.zip,2015-05-18 23:45:00
2015-05-19,114766,111500f6200a707c7c564352fb6d73d9,http://data.gdeltproject.org/gdeltv2/20150519234500.export.CSV.zip,2015-05-19 23:45:00
2015-05-20,132673,2f0fcaff109b5a150e0f63395ea25ba2,http://data.gdeltproject.org/gdeltv2/20150520234500.export.CSV.zip,2015-05-20 23:45:00
2015-05-21,112934,018b6496ef619cb9f872d3ebbdae5189,http://data.gdeltproject.org/gdeltv2/20150521234500.export.CSV.zip,2015-05-21 23:45:00
2015-05-22,87162,a01cf4a469916909f75d91f4e2fa32c6,http://data.gdeltproject.org/gdeltv2/20150522234500.export.CSV.zip,2015-05-22 23:45:00
2015-05-23,63400,625fd6843ae0a36c21407e5d2c08842b,http://data.gdeltproject.org/gdeltv2/20150523234500.export.CSV.zip,2015-05-23 23:45:00
2015-05-24,81334,ce5fd7ed69fad63269b2833f43f69f76,http://data.gdeltproject.org/gdeltv2/20150524234500.export.CSV.zip,2015-05-24 23:45:00
2015-05-25,102294,8b201d87c5462fda2b86193eb93f8e69,http://data.gdeltproject.org/gdeltv2/20150525234500.export.CSV.zip,2015-05-25 23:45:00
2015-05-26,122983,7fd155c1f32148523f674994ccba4f3e,http://data.gdeltproject.org/gdeltv2/20150526234500.export.CSV.zip,2015-05-26 23:45:00
2015-05-27,119790,3c69ab73a20e946f7ca11ec958fdf414,http://data.gdeltproject.org/gdeltv2/20150527234500.export.CSV.zip,2015-05-27 23:45:00
2015-05-28,109374,77c97ee4c26040de1970bf14bab3e566,http://data.gdeltproject.org/gdeltv2/20150528234500.export.CSV.zip,2015-05-28 23:45:00
2015-05-29,93194,9c9f6d2f9459a902ed5c8aa688bbdd67,http://data.gdeltproject.org/gdeltv2/20150529234500.export.CSV.zip,2015-05-29 23:45:00
2015-05-30,55921,034bd42624500e3393f0cf8db0c544bd,http://data.gdeltproject.org/gdeltv2/20150530234500.export.CSV.zip,2015-05-30 23:45:00
2015-05-31,62711,cf25bb70ad498a706bea4360a33874ce,http://data.gdeltproject.org/gdeltv2/20150531234500.export.CSV.zip,2015-05-31 23:45:00
2015-06-01,109702,3f79d92b1cffb6e318b824b7944e3ab4,http://data.gdeltproject.org/gdeltv2/20150601234500.export.CSV.zip,2015-06-01 23:45:00
2015-06-02,104765,50d6e526b7e9319ef5b85c41c6e1eec0,http://data.gdeltproject.org/gdeltv2/20150602234500.export.CSV.zip,2015-06-02 23:45:00
2015-06-03,92390,ba70631ae7b82e1479bb3591579a0cd7,http://data.gdeltproject.org/gdeltv2/20150603234500.export.CSV.zip,2015-06-03 23:45:00
2015-06-04,98970,8cd533423093d149f9de715071f7bbba,http://data.gdeltproject.org/gdeltv2/20150604234500.export.CSV.zip,2015-06-04 23:45:00
